cell,label,mode,cond,n,success,success_lo,success_hi,success_median,total_e2e_tokens,total_e2e_tokens_lo,total_e2e_tokens_hi,total_e2e_tokens_median,gen_tokens,gen_tokens_lo,gen_tokens_hi,gen_tokens_median,obs_tokens,obs_tokens_lo,obs_tokens_hi,obs_tokens_median,comp_in_tokens,comp_in_tokens_lo,comp_in_tokens_hi,comp_in_tokens_median,comp_gen_tokens,comp_gen_tokens_lo,comp_gen_tokens_hi,comp_gen_tokens_median,turns,turns_lo,turns_hi,turns_median,tool_calls,tool_calls_lo,tool_calls_hi,tool_calls_median,branch_calls,branch_calls_lo,branch_calls_hi,branch_calls_median,forward_passes,forward_passes_lo,forward_passes_hi,forward_passes_median,cum_prompt_tokens,cum_prompt_tokens_lo,cum_prompt_tokens_hi,cum_prompt_tokens_median,peak_ctx,peak_ctx_lo,peak_ctx_hi,peak_ctx_median,mean_ctx,mean_ctx_lo,mean_ctx_hi,mean_ctx_median,main_growth,main_growth_lo,main_growth_hi,main_growth_median,overlong,overlong_lo,overlong_hi,overlong_median,post_total,post_total_lo,post_total_hi,post_total_median,post_gen,post_gen_lo,post_gen_hi,post_gen_median,post_turns,post_turns_lo,post_turns_hi,post_turns_median,post_tool_calls,post_tool_calls_lo,post_tool_calls_hi,post_tool_calls_median,has_fold,has_fold_lo,has_fold_hi,has_fold_median,empty_think_turns,empty_think_turns_lo,empty_think_turns_hi,empty_think_turns_median,stop_reasons,val_score_trainer
grpo_fold,GRPO / fold,greedy,success,49,1.0,1.0,1.0,1.0,38621.28571428572,31465.836734693876,47302.0,29233.0,2920.5510204081634,2627.326530612245,3249.612244897959,2729.0,29515.34693877551,23111.061224489797,37358.244897959186,19769.0,1171.0,929.1224489795918,1447.408163265306,798.0,1917.408163265306,1642.8163265306123,2199.5510204081634,1759.0,13.816326530612244,11.020408163265307,17.081632653061224,11.0,8.571428571428571,6.387755102040816,11.0,6.0,1.5918367346938775,1.2448979591836735,1.9591836734693877,1.0,13.816326530612244,10.938775510204081,17.224489795918366,11.0,237969.85714285713,180175.14285714287,308395.5714285714,162202.0,26863.530612244896,24393.34693877551,29209.38775510204,27239.0,15600.45680706058,14374.911283217714,16856.971176218936,15020.809523809523,6592.877551020408,5122.6122448979595,8175.2040816326535,3793.0,0.0,0.0,0.0,0.0,15682.452380952382,8678.904761904761,23866.04761904762,3046.0,942.0238095238095,697.8095238095239,1218.4761904761904,644.0,7.714285714285714,5.095238095238095,10.952380952380953,3.5,4.261904761904762,2.380952380952381,6.619047619047619,1.0,0.8571428571428571,0.7551020408163265,0.9387755102040817,1.0,11.0,8.510204081632653,13.857142857142858,9.0,"{""finish"": 49}",0.32666666666666666
grpo_fold,GRPO / fold,t1n4,all,600,0.34,0.3016666666666667,0.37833333333333335,0.0,67154.195,63244.92833333334,71132.82166666667,50990.0,4783.491666666667,4582.156666666667,4989.378333333333,4391.0,55413.628333333334,51718.36,59178.54666666667,39460.0,1909.33,1786.3066666666666,2029.005,1506.5,3184.8783333333336,3012.3133333333335,3361.1,2644.0,21.663333333333334,20.298333333333332,23.096666666666668,17.0,13.251666666666667,12.333333333333334,14.216666666666667,9.0,2.6333333333333333,2.465,2.805,2.0,21.663333333333334,20.263333333333332,23.138333333333332,17.0,436038.9083333333,406389.43666666665,466821.6766666667,341896.5,31571.923333333332,30954.59,32165.935,35531.5,18807.06007879797,18437.778330196346,19177.428862771725,19526.85695652174,10683.028333333334,9859.311666666666,11514.128333333334,5914.0,0.09,0.06833333333333333,0.11333333333333333,0.0,41182.96316758748,37213.94659300184,45265.046040515655,24240.0,2100.1068139963168,1928.1491712707182,2275.4696132596687,1386.0,15.605893186003684,14.209944751381215,17.005524861878452,10.0,9.11049723756906,8.226519337016574,10.020257826887661,5.0,0.905,0.88,0.9283333333333333,1.0,16.14,14.996666666666666,17.296666666666667,12.0,"{""llm_none"": 55, ""finish"": 545}",0.34
grpo_fold,GRPO / fold,t1n4,success,204,1.0,1.0,1.0,1.0,41604.78921568627,38023.48039215686,45376.96568627451,33225.5,3164.3627450980393,2966.1813725490197,3372.578431372549,2742.0,32081.970588235294,28724.79411764706,35535.0931372549,24204.5,1337.3774509803923,1218.9754901960785,1462.4950980392157,935.0,2079.3627450980393,1916.8774509803923,2257.8823529411766,1685.5,14.941176470588236,13.529411764705882,16.436274509803923,11.5,9.147058823529411,8.098039215686274,10.284313725490197,7.0,1.8088235294117647,1.642156862745098,1.9901960784313726,1.0,14.941176470588236,13.529411764705882,16.50980392156863,11.5,262764.9117647059,232898.5,295676.09803921566,178764.5,27336.343137254902,26204.460784313724,28437.61274509804,27522.5,16208.85050339969,15613.433298028029,16784.6330173705,15983.866666666667,6988.774509803921,6148.328431372549,7871.2107843137255,3652.5,0.0,0.0,0.0,0.0,17325.5291005291,14120.518518518518,20840.624338624337,6820.0,1041.126984126984,892.7566137566138,1186.1693121693122,670.0,8.100529100529101,6.7936507936507935,9.53968253968254,5.0,4.449735449735449,3.502645502645503,5.4603174603174605,2.0,0.9264705882352942,0.8872549019607843,0.9607843137254902,1.0,11.848039215686274,10.568627450980392,13.156862745098039,9.0,"{""finish"": 204}",0.34
fold_nofold,FoldGRPO / no fold,greedy,all,150,0.06666666666666667,0.03333333333333333,0.10666666666666667,0.0,39315.02,38434.76,40114.54666666667,39814.0,2064.06,1717.66,2578.64,1533.0,32081.606666666667,31188.373333333333,32883.473333333335,33097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8133333333333335,6.433333333333334,7.22,6.0,6.726666666666667,6.333333333333333,7.133333333333334,6.0,0.0,0.0,0.0,0.0,6.8133333333333335,6.44,7.22,6.0,150771.81333333332,140588.92,161404.85333333333,139257.0,33870.50666666667,33178.3,34501.49333333333,35085.5,21636.688287118108,21113.388833990626,22101.23276647427,22186.690476190477,34166.113333333335,33307.073333333334,34960.64666666667,34611.0,0.9133333333333333,0.8666666666666667,0.9533333333333334,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,5.8,5.42,6.193333333333333,5.0,"{""llm_none"": 138, ""finish"": 12}",0.06666666666666667
fold_nofold,FoldGRPO / no fold,greedy,success,10,1.0,1.0,1.0,1.0,23426.0,20131.4,26727.4,24461.5,1587.3,1060.3,2365.0,1137.5,16669.2,13782.8,19311.3,18190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.1,6.4,5.5,4.6,4.0,5.3,4.0,0.0,0.0,0.0,0.0,5.7,5.1,6.4,5.5,92983.8,73097.4,114317.5,89217.5,23426.0,20156.0,26663.6,24461.5,15839.388809523807,13743.645476190475,17706.099285714285,16229.116666666667,18273.6,15133.8,21333.0,19342.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,4.7,4.0,5.4,4.5,"{""finish"": 10}",0.06666666666666667
fold_nofold,FoldGRPO / no fold,t1n4,all,600,0.05333333333333334,0.035,0.07166666666666667,0.0,39117.246666666666,38641.435,39565.64166666667,40035.0,1971.9583333333333,1822.0566666666666,2148.0383333333334,1529.5,31975.281666666666,31475.048333333332,32443.82,33187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,6.791666666666667,7.273333333333333,6.0,6.9383333333333335,6.695,7.1866666666666665,6.0,0.0,0.0,0.0,0.0,7.03,6.79,7.2716666666666665,6.0,152424.13833333334,146537.26166666666,158471.87666666668,135970.0,33863.85166666667,33501.138333333336,34214.246666666666,34920.5,21238.322805619693,20976.566960291522,21485.639424680234,21719.324675324675,33968.34,33525.24833333334,34438.62333333334,34917.0,0.91,0.885,0.9333333333333333,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,6.0216666666666665,5.78,6.261666666666667,5.0,"{""llm_none"": 548, ""finish"": 52}",0.05333333333333334
fold_nofold,FoldGRPO / no fold,t1n4,success,32,1.0,1.0,1.0,1.0,23407.53125,21905.15625,24915.9375,24499.0,1497.8125,1178.1875,1889.59375,1091.5,16752.6875,15295.9375,18246.84375,17433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9375,5.375,6.53125,5.0,4.90625,4.34375,5.46875,4.0,0.0,0.0,0.0,0.0,5.9375,5.375,6.53125,5.0,94055.0,83123.21875,105302.96875,86730.0,23407.53125,21859.375,24974.375,24499.0,15677.754439484128,14729.101760912698,16657.74407242064,15434.477777777778,18268.3125,16704.125,19865.53125,19388.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,4.9375,4.40625,5.53125,4.0,"{""finish"": 32}",0.05333333333333334
fold_fold,FoldGRPO / fold,greedy,all,150,0.37333333333333335,0.29333333333333333,0.4533333333333333,0.0,101086.53333333334,90014.67333333334,112167.46,80578.5,4311.38,3969.06,4656.14,3722.5,88537.68666666666,77905.44666666667,99044.04,69289.5,3154.0,2826.693333333333,3494.2733333333335,2677.5,3383.64,3079.8933333333334,3685.4866666666667,2864.5,31.386666666666667,28.153333333333332,34.88,26.0,18.58,16.606666666666666,20.746666666666666,15.5,4.433333333333334,3.953333333333333,4.933333333333334,4.0,31.386666666666667,27.973333333333333,34.74,26.0,595450.64,521397.5133333333,674529.2933333333,463965.5,32426.133333333335,31227.54,33563.63333333333,35894.0,17342.546762289592,16669.54885638875,17971.9186981421,18576.65018315018,4893.833333333333,3997.7266666666665,5956.7,3352.5,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.0,73970.25170068027,63004.380952380954,85421.02721088435,50149.0,2409.938775510204,2108.9931972789113,2723.7755102040815,1875.0,25.047619047619047,21.72108843537415,28.39455782312925,19.0,14.591836734693878,12.537414965986395,16.761904761904763,11.0,0.98,0.9533333333333334,1.0,1.0,27.573333333333334,24.72,30.56,23.0,"{""llm_none"": 5, ""finish"": 145}",0.37333333333333335
fold_fold,FoldGRPO / fold,greedy,success,56,1.0,1.0,1.0,1.0,58653.25,48621.375,70319.16071428571,48423.5,3085.589285714286,2716.339285714286,3539.6785714285716,2725.5,48343.267857142855,38884.92857142857,59530.375,38273.5,2184.160714285714,1853.357142857143,2543.8928571428573,2011.5,2429.9464285714284,2128.625,2789.285714285714,2151.5,20.589285714285715,17.125,24.535714285714285,16.0,12.017857142857142,9.75,14.517857142857142,9.0,3.0714285714285716,2.5892857142857144,3.607142857142857,3.0,20.589285714285715,17.232142857142858,24.607142857142858,16.0,330825.98214285716,257193.17857142858,415241.03571428574,239044.5,27852.071428571428,25547.803571428572,30004.35714285714,30928.5,14494.034831894622,13471.879012902242,15507.46528454116,14489.047619047618,2753.9285714285716,2361.339285714286,3240.0535714285716,2372.0,0.0,0.0,0.0,0.0,33427.125,24302.75,44615.267857142855,23614.0,1499.0714285714287,1171.5,1880.8214285714287,1152.5,14.071428571428571,10.642857142857142,18.053571428571427,10.5,7.839285714285714,5.660714285714286,10.446428571428571,6.0,1.0,1.0,1.0,1.0,18.446428571428573,15.339285714285714,21.928571428571427,14.0,"{""finish"": 56}",0.37333333333333335
fold_fold,FoldGRPO / fold,t1n4,all,600,0.36666666666666664,0.3283333333333333,0.4066666666666667,0.0,99817.685,94339.535,105183.33166666667,84308.5,4342.13,4174.723333333333,4516.475,3902.5,87295.54333333333,82194.22,92338.765,72222.0,3095.1283333333336,2943.45,3257.6066666666666,2767.0,3361.516666666667,3213.2283333333335,3515.5616666666665,2917.0,32.178333333333335,30.496666666666666,33.99666666666667,27.5,19.508333333333333,18.433333333333334,20.648333333333333,16.5,4.4816666666666665,4.1866666666666665,4.821666666666666,4.0,32.178333333333335,30.441666666666666,33.95166666666667,27.5,615312.415,576583.1366666667,654336.1366666667,476113.5,32567.553333333333,31995.96,33089.138333333336,35862.0,17562.5142221413,17237.359368006313,17874.502993006045,18706.108333333334,5009.325,4518.92,5526.575,3369.0,0.03333333333333333,0.02,0.04833333333333333,0.0,71345.83445945945,66141.57094594595,76332.63344594595,55811.5,2341.3597972972975,2198.929054054054,2491.560810810811,1982.5,25.16554054054054,23.407094594594593,26.92060810810811,20.0,14.9375,13.842905405405405,16.028716216216218,11.0,0.9866666666666667,0.9766666666666667,0.995,1.0,28.506666666666668,27.026666666666667,30.09,24.0,"{""finish"": 577, ""llm_none"": 20, ""max_turn"": 3}",0.36666666666666664
