pair,a,b,mode,metric,n_tasks,mean_diff,ci_lo,ci_hi,median_diff,frac_positive,sign_p,mean_a,mean_b
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,success,150,0.31333333333333335,0.25333333333333335,0.37666666666666665,0.0,0.47333333333333333,3.091670257478196e-20,0.36666666666666664,0.05333333333333334
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,total_e2e_tokens,150,60700.43833333333,52755.401666666665,68772.03,47522.25,0.92,2.6423438835189126e-28,99817.685,39117.246666666666
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,gen_tokens,150,2370.1716666666666,2087.5533333333333,2641.5733333333333,2241.625,0.9733333333333334,2.91790991940877e-38,4342.13,1971.9583333333333
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,obs_tokens,150,55320.261666666665,47987.16,63272.995,42557.5,0.9066666666666666,2.7927572561866964e-26,87295.54333333333,31975.281666666666
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,turns,150,25.148333333333333,22.613333333333333,27.731666666666666,21.125,1.0,1.401298464324817e-45,32.178333333333335,7.03
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,tool_calls,150,12.57,10.936666666666667,14.305,11.0,0.9,5.068356889073817e-26,19.508333333333333,6.9383333333333335
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,peak_ctx,150,-1296.2983333333334,-2123.015,-540.72,66.625,0.5133333333333333,0.8065959963978487,32567.553333333333,33863.85166666667
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,mean_ctx,150,-3675.8085834783915,-4199.393219508294,-3144.662460297823,-3213.3651420952738,0.12666666666666668,9.060361693512546e-22,17562.5142221413,21238.322805619693
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,cum_prompt_tokens,150,462888.2766666667,405310.38166666665,522059.64666666667,359590.625,0.9333333333333333,1.7629282549387198e-30,615312.415,152424.13833333334
FoldGRPO: fold − no fold,fold_fold,fold_nofold,t1n4,forward_passes,150,25.148333333333333,22.673333333333332,27.663333333333334,21.125,1.0,1.401298464324817e-45,32.178333333333335,7.03
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,success,150,0.17333333333333334,0.1,0.24666666666666667,0.0,0.20666666666666667,1.2913485988974571e-05,0.32666666666666666,0.15333333333333332
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,total_e2e_tokens,150,25872.96,18489.993333333332,33791.76,8761.5,0.6533333333333333,0.00021507659441552738,62627.14666666667,36754.18666666667
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,gen_tokens,150,1141.6933333333334,791.7333333333333,1512.78,746.5,0.6866666666666666,5.597619670017193e-06,4301.093333333333,3159.4
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,obs_tokens,150,23101.806666666667,16531.573333333334,30533.873333333333,8089.0,0.66,0.00010978172637063631,51531.486666666664,28429.68
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,turns,150,14.066666666666666,11.466666666666667,16.88,9.5,0.8066666666666666,6.235181495026026e-20,19.453333333333333,5.386666666666667
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,tool_calls,150,6.946666666666666,5.166666666666667,8.8,4.0,0.66,3.3742641422521276e-07,11.96,5.013333333333334
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,peak_ctx,150,400.7866666666667,-1070.3866666666668,1923.9266666666667,766.0,0.52,0.6832317601040963,31135.14,30734.353333333333
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,mean_ctx,150,-1042.067104132664,-1958.516543619434,-84.39090132809696,-799.1371794871793,0.3933333333333333,0.011121593847224862,18293.055601476535,19335.122705609203
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,cum_prompt_tokens,150,269750.68,212807.38,328598.4066666667,168095.0,0.76,1.2230158961603492e-10,379794.0933333333,110043.41333333333
GRPO: fold − no fold,grpo_fold,grpo_nofold,greedy,forward_passes,150,14.066666666666666,11.46,16.773333333333333,9.5,0.8066666666666666,6.235181495026026e-20,19.453333333333333,5.386666666666667
